Year,LocationAbbr,LocationDesc,TopicDesc,Gender,Race,Age,Education
2004,IN,Indiana, Youth,Male,All Races,All Ages,High School
2014,AL,Alabama,  Youth,Female,All Races,All Ages,High School
2007,CT,Connecticut, Youth,Male,All Races,All Ages,Middle School
2003,AZ,Arizona, Youth,Female,All Races,All Ages,High School
2005,NC,North Carolina,  Youth,Female,All Races,All Ages,Middle School
2008,IN,Indiana,  Youth,Overall,All Races,All Ages,High School
2004,NJ,New Jersey,  Youth,Female,All Races,All Ages,High School
2002,MA,Massachusetts,  Youth,Female,All Races,All Ages,High School
2002,VT,Vermont,  Youth,Male,All Races,All Ages,Middle School
2006,MS,Mississippi, Youth,Male,All Races,All Ages,High School
2008,AL,Alabama,  Youth,Female,All Races,All Ages,Middle School
2000,WV,West Virginia, Youth,Overall,All Races,All Ages,Middle School
2005,CT,Connecticut,  Youth,Male,All Races,All Ages,High School
2004,IN,Indiana,  Youth,Female,All Races,All Ages,Middle School
1999,SD,South Dakota, Youth,Male,All Races,All Ages,Middle School
2001,ME,Maine,  Youth,Overall,All Races,All Ages,Middle School
2002,MD,Maryland,  Youth,Male,All Races,All Ages,High School
2003,UT,Utah,  Youth,Female,All Races,All Ages,Middle School
2000,KS,Kansas,  Youth,Overall,All Races,All Ages,High School
2005,IL,Illinois, Youth,Male,All Races,All Ages,Middle School
2001,NH,New Hampshire,  Youth,Male,All Races,All Ages,Middle School
2006,NJ,New Jersey, Youth,Male,All Races,All Ages,High School
2000,MN,Minnesota,  Youth,Overall,All Races,All Ages,High School
2016,MS,Mississippi,  Youth,Male,All Races,All Ages,High School
2015,GA,Georgia,  Youth,Overall,All Races,All Ages,High School
2011,NC,North Carolina,  Youth,Overall,All Races,All Ages,Middle School
2007,SD,South Dakota, Youth,Male,All Races,All Ages,Middle School
2012,AL,Alabama,  Youth,Overall,All Races,All Ages,Middle School
2008,WI,Wisconsin,  Youth,Male,All Races,All Ages,High School
2006,KY,Kentucky, Youth,Overall,All Races,All Ages,High School
2014,NJ,New Jersey,  Youth,Overall,All Races,All Ages,Middle School
2008,KY,Kentucky, Youth,Overall,All Races,All Ages,High School
2005,AR,Arkansas, Youth,Overall,All Races,All Ages,High School
2013,OK,Oklahoma,  Youth,Male,All Races,All Ages,Middle School
1999,OK,Oklahoma,  Youth,Female,All Races,All Ages,Middle School
2013,MO,Missouri,  Youth,Male,All Races,All Ages,Middle School
2007,NH,New Hampshire,  Youth,Overall,All Races,All Ages,High School
2005,CT,Connecticut,  Youth,Male,All Races,All Ages,High School
2011,LA,Louisiana,  Youth,Female,All Races,All Ages,Middle School
2002,IL,Illinois, Youth,Male,All Races,All Ages,High School
2007,AR,Arkansas,  Youth,Male,All Races,All Ages,High School
2008,IN,Indiana,  Youth,Female,All Races,All Ages,Middle School
2013,HI,Hawaii,  Youth,Male,All Races,All Ages,High School
2003,CA,California,  Youth,Male,All Races,All Ages,Middle School
2002,WV,West Virginia,  Youth,Overall,All Races,All Ages,Middle School
2000,MD,Maryland,  Youth,Overall,All Races,All Ages,High School
2002,TN,Tennessee,  Youth,Female,All Races,All Ages,Middle School
2005,HI,Hawaii,  Youth,Female,All Races,All Ages,High School
2014,OH,Ohio,  Youth,Overall,All Races,All Ages,Middle School
1999,NC,North Carolina,  Youth,Male,All Races,All Ages,High School
2013,KS,Kansas,  Youth,Female,All Races,All Ages,Middle School
2004,VT,Vermont,  Youth,Female,All Races,All Ages,Middle School
2010,NJ,New Jersey,  Youth,Overall,All Races,All Ages,High School
2002,PA,Pennsylvania, Youth,Overall,All Races,All Ages,High School
2010,MS,Mississippi, Youth,Female,All Races,All Ages,High School
2011,LA,Louisiana,  Youth,Overall,All Races,All Ages,Middle School
2001,LA,Louisiana,  Youth,Female,All Races,All Ages,Middle School
2001,FL,Florida,  Youth,Female,All Races,All Ages,High School
2010,IN,Indiana,  Youth,Female,All Races,All Ages,Middle School
2012,AL,Alabama,  Youth,Female,All Races,All Ages,Middle School
2003,CA,California,  Youth,Male,All Races,All Ages,High School
2000,OH,Ohio,  Youth,Overall,All Races,All Ages,Middle School
2002,NE,Nebraska,  Youth,Overall,All Races,All Ages,Middle School
2004,VT,Vermont,  Youth,Male,All Races,All Ages,Middle School
2000,IA,Iowa, Youth,Female,All Races,All Ages,High School
2002,NE,Nebraska,  Youth,Overall,All Races,All Ages,Middle School
2005,SC,South Carolina,  Youth,Female,All Races,All Ages,Middle School
2000,MD,Maryland,  Youth,Overall,All Races,All Ages,High School
2007,AZ,Arizona,  Youth,Overall,All Races,All Ages,High School
2007,AR,Arkansas,  Youth,Male,All Races,All Ages,High School
2000,OK,Oklahoma,  Youth,Female,All Races,All Ages,Middle School
2004,MS,Mississippi,  Youth,Female,All Races,All Ages,Middle School
2006,KY,Kentucky,  Youth,Male,All Races,All Ages,Middle School
2013,OK,Oklahoma,  Youth,Female,All Races,All Ages,Middle School
2012,AL,Alabama, Youth,Male,All Races,All Ages,Middle School
2014,MS,Mississippi,  Youth,Female,All Races,All Ages,Middle School
2008,PA,Pennsylvania,  Youth,Male,All Races,All Ages,High School
2007,UT,Utah,  Youth,Overall,All Races,All Ages,High School
2000,IA,Iowa, Youth,Overall,All Races,All Ages,Middle School
2011,SC,South Carolina,  Youth,Male,All Races,All Ages,High School
2004,DE,Delaware,  Youth,Male,All Races,All Ages,High School
2000,NH,New Hampshire, Youth,Male,All Races,All Ages,Middle School
2007,AR,Arkansas, Youth,Male,All Races,All Ages,High School
2004,NH,New Hampshire,  Youth,Female,All Races,All Ages,Middle School
2015,CT,Connecticut,  Youth,Male,All Races,All Ages,High School
2008,MS,Mississippi,  Youth,Overall,All Races,All Ages,Middle School
2013,GA,Georgia, Youth,Female,All Races,All Ages,High School
2006,SC,South Carolina,  Youth,Male,All Races,All Ages,Middle School
2016,DE,Delaware,  Youth,Male,All Races,All Ages,Middle School
2000,ME,Maine,  Youth,Male,All Races,All Ages,Middle School
2002,TN,Tennessee,  Youth,Male,All Races,All Ages,Middle School
2001,MI,Michigan,  Youth,Female,All Races,All Ages,High School
2009,OK,Oklahoma,  Youth,Female,All Races,All Ages,High School
2000,OH,Ohio, Youth,Overall,All Races,All Ages,Middle School
2002,CT,Connecticut,  Youth,Female,All Races,All Ages,High School
2005,MO,Missouri, Youth,Male,All Races,All Ages,Middle School
2009,NH,New Hampshire,  Youth,Overall,All Races,All Ages,High School
2008,OH,Ohio,  Youth,Male,All Races,All Ages,High School
2010,IN,Indiana, Youth,Overall,All Races,All Ages,High School
2010,KY,Kentucky,  Youth,Overall,All Races,All Ages,High School
2009,ND,North Dakota, Youth,Overall,All Races,All Ages,High School
2007,CT,Connecticut,  Youth,Female,All Races,All Ages,High School
2009,NC,North Carolina, Youth,Overall,All Races,All Ages,Middle School
2005,ND,North Dakota,  Youth,Overall,All Races,All Ages,Middle School
2000,WI,Wisconsin,  Youth,Female,All Races,All Ages,High School
2011,HI,Hawaii,  Youth,Female,All Races,All Ages,Middle School
2009,VA,Virginia,  Youth,Male,All Races,All Ages,Middle School
2006,IA,Iowa, Youth,Male,All Races,All Ages,High School
2012,MS,Mississippi,  Youth,Male,All Races,All Ages,High School
2000,CA,California, Youth,Overall,All Races,All Ages,High School
2002,NY,New York,  Youth,Male,All Races,All Ages,Middle School
1999,AR,Arkansas,  Youth,Overall,All Races,All Ages,Middle School
2015,MS,Mississippi, Youth,Male,All Races,All Ages,Middle School
2010,DE,Delaware,  Youth,Male,All Races,All Ages,Middle School
2000,NH,New Hampshire,  Youth,Male,All Races,All Ages,Middle School
2007,AR,Arkansas, Youth,Male,All Races,All Ages,High School
2010,PA,Pennsylvania,  Youth,Female,All Races,All Ages,Middle School
2005,MO,Missouri,  Youth,Overall,All Races,All Ages,Middle School
2000,WI,Wisconsin,  Youth,Overall,All Races,All Ages,Middle School
2012,OH,Ohio,  Youth,Male,All Races,All Ages,Middle School
2006,PA,Pennsylvania,  Youth,Male,All Races,All Ages,Middle School
2002,FL,Florida,  Youth,Male,All Races,All Ages,High School
2010,PA,Pennsylvania, Youth,Male,All Races,All Ages,High School
2002,DE,Delaware,  Youth,Female,All Races,All Ages,High School
2005,OK,Oklahoma,  Youth,Male,All Races,All Ages,Middle School
2007,CT,Connecticut,  Youth,Overall,All Races,All Ages,Middle School
2003,ND,North Dakota,  Youth,Female,All Races,All Ages,Middle School
2015,CT,Connecticut,  Youth,Female,All Races,All Ages,Middle School
2009,SD,South Dakota, Youth,Female,All Races,All Ages,Middle School
2002,AL,Alabama,  Youth,Overall,All Races,All Ages,Middle School
2012,NE,Nebraska,  Youth,Male,All Races,All Ages,High School
2013,OK,Oklahoma,  Youth,Male,All Races,All Ages,Middle School
2006,NJ,New Jersey,  Youth,Overall,All Races,All Ages,High School
2009,WV,West Virginia,  Youth,Overall,All Races,All Ages,High School
2009,IA,Iowa,  Youth,Male,All Races,All Ages,Middle School
2000,MN,Minnesota,  Youth,Male,All Races,All Ages,High School
2011,CT,Connecticut,  Youth,Female,All Races,All Ages,Middle School
2001,ID,Idaho,  Youth,Overall,All Races,All Ages,Middle School
1999,NJ,New Jersey,  Youth,Overall,All Races,All Ages,Middle School
2009,OK,Oklahoma,  Youth,Overall,All Races,All Ages,Middle School
2012,WI,Wisconsin,  Youth,Female,All Races,All Ages,High School
2011,MI,Michigan, Youth,Female,All Races,All Ages,High School
2002,AL,Alabama,  Youth,Overall,All Races,All Ages,High School
2009,CT,Connecticut,  Youth,Overall,All Races,All Ages,High School
2015,WV,West Virginia,  Youth,Female,All Races,All Ages,Middle School
2007,MO,Missouri, Youth,Overall,All Races,All Ages,High School
2016,AL,Alabama, Youth,Overall,All Races,All Ages,High School
2009,IA,Iowa,  Youth,Female,All Races,All Ages,Middle School
2007,CT,Connecticut,  Youth,Female,All Races,All Ages,Middle School
2005,RI,Rhode Island,  Youth,Overall,All Races,All Ages,High School
2010,AL,Alabama,  Youth,Male,All Races,All Ages,Middle School
2001,SD,South Dakota,  Youth,Overall,All Races,All Ages,Middle School
2011,CT,Connecticut,  Youth,Male,All Races,All Ages,Middle School
2000,KY,Kentucky,  Youth,Overall,All Races,All Ages,High School
2002,PA,Pennsylvania, Youth,Female,All Races,All Ages,Middle School
2005,UT,Utah,  Youth,Overall,All Races,All Ages,Middle School
2011,NH,New Hampshire,  Youth,Overall,All Races,All Ages,High School
2000,DC,District of Columbia,  Youth,Overall,All Races,All Ages,High School
2015,ND,North Dakota,  Youth,Female,All Races,All Ages,Middle School
2008,AL,Alabama, Youth,Male,All Races,All Ages,High School
2006,IL,Illinois,  Youth,Male,All Races,All Ages,Middle School
2010,IN,Indiana,  Youth,Female,All Races,All Ages,Middle School
2000,OK,Oklahoma, Youth,Overall,All Races,All Ages,Middle School
2008,DE,Delaware,  Youth,Male,All Races,All Ages,Middle School
2006,WI,Wisconsin,  Youth,Overall,All Races,All Ages,High School
2000,WI,Wisconsin,  Youth,Overall,All Races,All Ages,Middle School
2002,MD,Maryland,  Youth,Overall,All Races,All Ages,Middle School
2014,AL,Alabama,  Youth,Male,All Races,All Ages,Middle School
2007,CT,Connecticut,  Youth,Male,All Races,All Ages,High School
2000,NY,New York, Youth,Male,All Races,All Ages,Middle School
2002,IA,Iowa,  Youth,Female,All Races,All Ages,High School
2014,NJ,New Jersey,  Youth,Female,All Races,All Ages,Middle School
2015,AZ,Arizona, Youth,Overall,All Races,All Ages,Middle School
2015,NC,North Carolina,  Youth,Overall,All Races,All Ages,Middle School
2015,PA,Pennsylvania,  Youth,Male,All Races,All Ages,Middle School
2000,IA,Iowa,  Youth,Overall,All Races,All Ages,High School
2000,NE,Nebraska, Youth,Overall,All Races,All Ages,High School
2011,NH,New Hampshire, Youth,Male,All Races,All Ages,High School
2015,WV,West Virginia,  Youth,Female,All Races,All Ages,High School
2000,ME,Maine,  Youth,Female,All Races,All Ages,Middle School
2015,GA,Georgia,  Youth,Overall,All Races,All Ages,High School
2003,HI,Hawaii,  Youth,Female,All Races,All Ages,Middle School
2000,CA,California,  Youth,Male,All Races,All Ages,High School
2015,LA,Louisiana,  Youth,Overall,All Races,All Ages,Middle School
2000,DE,Delaware, Youth,Overall,All Races,All Ages,High School
2000,AR,Arkansas,  Youth,Female,All Races,All Ages,High School
2005,ND,North Dakota, Youth,Male,All Races,All Ages,High School
2002,FL,Florida,  Youth,Female,All Races,All Ages,High School
2002,KS,Kansas,  Youth,Female,All Races,All Ages,High School
2002,FL,Florida,  Youth,Male,All Races,All Ages,High School
2011,MO,Missouri, Youth,Overall,All Races,All Ages,High School
2010,PA,Pennsylvania,  Youth,Male,All Races,All Ages,Middle School
2010,IL,Illinois,  Youth,Male,All Races,All Ages,High School
2009,GA,Georgia,  Youth,Female,All Races,All Ages,Middle School
2009,ND,North Dakota,  Youth,Overall,All Races,All Ages,Middle School
2012,OH,Ohio,  Youth,Female,All Races,All Ages,Middle School
2007,MI,Michigan,  Youth,Female,All Races,All Ages,High School
2011,GA,Georgia,  Youth,Female,All Races,All Ages,High School
2011,WV,West Virginia,  Youth,Male,All Races,All Ages,Middle School
2000,CT,Connecticut,  Youth,Male,All Races,All Ages,Middle School
2013,CT,Connecticut,  Youth,Male,All Races,All Ages,High School
2014,DE,Delaware,  Youth,Overall,All Races,All Ages,Middle School
2008,LA,Louisiana,  Youth,Overall,All Races,All Ages,Middle School
2015,HI,Hawaii, Youth,Female,All Races,All Ages,Middle School
2004,MS,Mississippi,  Youth,Female,All Races,All Ages,High School
1999,NE,Nebraska,  Youth,Overall,All Races,All Ages,Middle School
2011,NC,North Carolina,  Youth,Female,All Races,All Ages,Middle School
2015,ND,North Dakota,  Youth,Female,All Races,All Ages,Middle School
2008,AL,Alabama,  Youth,Male,All Races,All Ages,Middle School
2011,CT,Connecticut,  Youth,Overall,All Races,All Ages,Middle School
2005,MO,Missouri, Youth,Male,All Races,All Ages,Middle School
2011,CT,Connecticut, Youth,Male,All Races,All Ages,High School
2000,IN,Indiana, Youth,Male,All Races,All Ages,Middle School
2014,NJ,New Jersey,  Youth,Male,All Races,All Ages,Middle School
2011,GA,Georgia,  Youth,Female,All Races,All Ages,Middle School
2000,AR,Arkansas,  Youth,Male,All Races,All Ages,Middle School
2000,NY,New York,  Youth,Overall,All Races,All Ages,Middle School
2011,AZ,Arizona, Youth,Overall,All Races,All Ages,Middle School
2006,NE,Nebraska, Youth,Overall,All Races,All Ages,High School
2000,ME,Maine,  Youth,Female,All Races,All Ages,Middle School
2002,KS,Kansas, Youth,Female,All Races,All Ages,Middle School
2008,WI,Wisconsin,  Youth,Male,All Races,All Ages,High School
2003,MO,Missouri,  Youth,Female,All Races,All Ages,High School
2011,CT,Connecticut,  Youth,Male,All Races,All Ages,High School
2002,NC,North Carolina,  Youth,Female,All Races,All Ages,Middle School
2005,AR,Arkansas, Youth,Male,All Races,All Ages,High School
2007,MO,Missouri,  Youth,Overall,All Races,All Ages,High School
2012,OH,Ohio,  Youth,Male,All Races,All Ages,Middle School
2008,NJ,New Jersey,  Youth,Male,All Races,All Ages,High School
2001,MI,Michigan,  Youth,Female,All Races,All Ages,High School
2000,KS,Kansas,  Youth,Male,All Races,All Ages,Middle School
1999,MO,Missouri,  Youth,Overall,All Races,All Ages,Middle School
2006,IN,Indiana,  Youth,Overall,All Races,All Ages,Middle School
2007,CT,Connecticut,  Youth,Female,All Races,All Ages,Middle School
2013,KS,Kansas,  Youth,Overall,All Races,All Ages,Middle School
2014,MN,Minnesota,  Youth,Female,All Races,All Ages,Middle School
2004,NC,North Carolina,  Youth,Female,All Races,All Ages,High School
2000,CO,Colorado,  Youth,Overall,All Races,All Ages,High School
2003,MI,Michigan,  Youth,Male,All Races,All Ages,High School
2003,RI,Rhode Island,  Youth,Overall,All Races,All Ages,High School
2012,DE,Delaware,  Youth,Female,All Races,All Ages,Middle School
2000,WI,Wisconsin,  Youth,Male,All Races,All Ages,Middle School
2001,MI,Michigan,  Youth,Female,All Races,All Ages,Middle School
2002,MN,Minnesota, Youth,Male,All Races,All Ages,Middle School
2003,MI,Michigan,  Youth,Overall,All Races,All Ages,High School
2007,MI,Michigan, Youth,Female,All Races,All Ages,High School
2015,GA,Georgia, Youth,Male,All Races,All Ages,High School
2007,OK,Oklahoma,  Youth,Female,All Races,All Ages,Middle School
2014,DE,Delaware,  Youth,Male,All Races,All Ages,High School
2003,RI,Rhode Island,  Youth,Overall,All Races,All Ages,Middle School
2000,IN,Indiana,  Youth,Female,All Races,All Ages,Middle School
2001,NH,New Hampshire, Youth,Overall,All Races,All Ages,High School
2008,MN,Minnesota,  Youth,Overall,All Races,All Ages,Middle School
2006,SC,South Carolina,  Youth,Male,All Races,All Ages,High School
2000,OK,Oklahoma,  Youth,Female,All Races,All Ages,Middle School
2000,KY,Kentucky, Youth,Male,All Races,All Ages,Middle School
2016,OK,Oklahoma,  Youth,Female,All Races,All Ages,Middle School
2005,CT,Connecticut,  Youth,Female,All Races,All Ages,High School
2009,AZ,Arizona,  Youth,Overall,All Races,All Ages,Middle School
2006,MS,Mississippi, Youth,Overall,All Races,All Ages,Middle School
1999,NJ,New Jersey, Youth,Overall,All Races,All Ages,High School
2003,SD,South Dakota,  Youth,Female,All Races,All Ages,High School
2013,IN,Indiana,  Youth,Overall,All Races,All Ages,Middle School
